#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,degT,hPa,degC,degC,degC,mi,ft
2022,1,1,17,30,147,3.4,4.5,99,99,99,999,1020.7,12.4,13.4,5,99,99
2022,1,1,17,40,144,3.3,4.5,1.08,8.33,5.48,250,1020.9,12.5,13.4,5.2,99,99
2022,1,1,17,50,129,3.5,5,99,99,99,999,1021.1,12.5,13.4,4.8,99,99
2022,1,1,18,0,120,3.3,5.3,99,99,99,999,1021.3,12.5,13.4,4.3,99,99
2022,1,1,18,10,119,3.7,5.3,99,99,99,999,1021.3,12.6,13.4,5.1,99,99
2022,1,1,18,20,121,4.1,5.1,99,99,99,999,1021.4,12.5,13.4,4.7,99,99
2022,1,1,18,30,116,3.5,4.5,99,99,99,999,1021.4,12.4,13.4,4.5,99,99
2022,1,1,18,40,118,3,4.2,1.04,9.09,5.67,244,1021.3,12.5,13.4,4.2,99,99
2022,1,1,18,50,115,2.5,4,99,99,99,999,1021.3,12.5,13.4,3.8,99,99
2022,1,1,19,0,99,2.3,3.5,99,99,99,999,1021.3,12.6,13.4,3.7,99,99
2022,1,1,19,10,107,2,3.1,99,99,99,999,1021.3,12.6,13.4,3.4,99,99
2022,1,1,19,20,107,2.2,3.2,99,99,99,999,1021.2,12.7,13.4,3.9,99,99
2022,1,1,19,30,112,2.1,3.6,99,99,99,999,1021.1,12.7,13.5,3.8,99,99
2022,1,1,19,40,110,1.8,2.9,1,9.09,5.53,258,1021.1,12.7,13.5,3.7,99,99
2022,1,1,19,50,100,2.2,3.2,99,99,99,999,1021.1,12.7,13.5,3.7,99,99
2022,1,1,20,0,111,1.8,2.8,99,99,99,999,1021.1,12.7,999,3.6,99,99
2022,1,1,20,10,130,1.4,2.2,99,99,99,999,1021.1,12.8,13.6,3.6,99,99
2022,1,1,20,20,139,1.5,2.2,99,99,99,999,1020.9,13,13.6,3.4,99,99
2022,1,1,20,30,153,2.1,3.3,99,99,99,999,1020.9,13.1,13.6,4.1,99,99
2022,1,1,20,40,151,2.4,3,0.94,10,5.47,260,1020.9,12.9,13.6,3.9,99,99
2022,1,1,20,50,162,2.3,2.9,99,99,99,999,1020.9,13,13.6,3,99,99
2022,1,1,21,0,154,1.9,2.4,99,99,99,999,1020.9,13.1,13.6,2.4,99,99
2022,1,1,21,10,140,1,2.2,99,99,99,999,1020.9,13.2,13.7,2.7,99,99
2022,1,1,21,20,135,0.7,1.2,99,99,99,999,1021,13.3,13.7,2.7,99,99
2022,1,1,21,30,149,0.8,1.5,99,99,99,999,1021,13.4,13.8,2.4,99,99
2022,1,1,21,40,150,1,1.5,0.84,9.09,5.42,246,1021,13.4,13.8,1.9,99,99
2022,1,1,21,50,119,1.1,1.8,99,99,99,999,1021.1,13.5,13.8,1.9,99,99
2022,1,1,22,0,94,0.7,1.4,99,99,99,999,1021.1,13.3,13.9,1.9,99,99
2022,1,1,22,10,75,0.3,0.9,99,99,99,999,1021.3,13.3,13.9,1.8,99,99
2022,1,1,22,20,98,0.2,0.9,99,99,99,999,1021.4,13.4,13.9,2.3,99,99
